date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low,fiiIdxFutlong,fiiIdxFutshort,fiiIdxCElong,fiiIdxCEshort,fiiIdxPElong,fiiIdxPEshort,fiiStkFutlong,fiiStkFutshort,fiiStkCElong,fiiStkCEshort,fiiStkPElong,fiiStkPEshort,diiIdxFutlong,diiIdxFutshort,diiIdxCElong,diiIdxCEshort,diiIdxPElong,diiIdxPEshort,diiStkFutlong,diiStkFutshort,diiStkCElong,diiStkCEshort,diiStkPElong,diiStkPEshort,propIdxFutlong,propIdxFutshort,propIdxCElong,propIdxCEshort,propIdxPElong,propIdxPEshort,propStkFutlong,propStkFutshort,propStkCElong,propStkCEshort,propStkPElong,propStkPEshort
20140505T,CNX Nifty,632,861,6681.65,6741.05,6680.45,6699.35,6415.67,5711242.0,32,23,196194,70193,367829,336981,545443,165725,393419,848469,15698,14153,12384,5705,6174,100,201687.0,0,0,0,12446,113429.0,525,0,0,0,33101,51682,182148.0,240653.0,199361.0,233982.0,148842.0,137950.0,31467,71039,33822,32685
20140506T,CNX Nifty,730,759,6719.25,6743.45,6701.9,6715.3,5721.32,5038516.0,33,23,186080,73218,387189,354410,545772,189454,392963,854238,17378,14603,12018,5630,6200,100,199944.0,0,0,0,12487,113263.0,525,17,0,0,36881,46679,184314.0,237282.0,204732.0,233527.0,150332.0,138439.0,31545,72306,34507,33184
20140507T,CNX Nifty,597,879,6708.6,6718.75,6642.9,6652.55,6428.0,6055381.0,27,21,188666,91043,431852,402708,541062,210586,388393,861638,19313,17291,12586,6472,6407,100,200085.0,0,0,0,12639,113639.0,525,137,0,0,47247,46980,191923.0,253356.0,216838.0,235610.0,150519.0,139943.0,31615,75388,35764,35265
20140508T,CNX Nifty,652,815,6669.9,6688.4,6638.55,6659.85,5969.75,5648569.0,28,20,177455,88819,455470,449267,548119,212018,386437,870312,20400,19418,12997,7332,6405,100,202751.0,0,0,0,12741,112935.0,525,137,0,0,53589,45398,190837.0,250375.0,223550.0,239805.0,153171.0,137381.0,33402,76888,37975,35794
20140509T,CNX Nifty,927,570,6654.15,6871.35,6652.15,6858.8,9002.18,7107059.0,30,18,203769,97471,512847,539768,583184,246574,393288,883030,21449,21818,13755,9758,5223,1200,207505.0,0,0,0,15525,112232.0,2073,137,0,0,64511,50222,239344.0,306002.0,243152.0,273102.0,158475.0,143921.0,41609,74886,38590,38678
20140512T,CNX Nifty,765,748,6863.4,7020.05,6862.9,7014.25,9768.3,7252411.0,39,22,198894,99861,540687,607088,622573,303106,403005,894183,24411,25094,15843,14806,4625,2600,206674.0,0,0,0,16791,110025.0,2073,142,0,0,63938,46477,228517.0,317680.0,232220.0,300726.0,160918.0,148223.0,42009,80997,42596,46741
20140513T,CNX Nifty,959,547,7080.0,7172.35,7067.15,7108.75,12935.8,9345435.0,45,27,249199,108143,553600,626234,639703,283387,405018,903668,25510,25617,16921,15971,4432,4600,206121.0,0,0,0,20749,109734.0,2168,137,0,0,47932,49612,228319.0,304745.0,217567.0,316176.0,158543.0,153338.0,41779,82435,41616,49265
20140514T,CNX Nifty,965,553,7112.0,7142.25,7080.9,7108.75,11736.32,8421044.0,34,21,258304,120126,548884,678672,649442,320026,384798,926798,27103,28537,19218,17261,4357,4600,211581.0,0,0,0,22916,112055.0,1708,137,0,0,54566,46611,233540.0,308742.0,225297.0,305152.0,166396.0,164268.0,43086,87194,42489,52836
20140515T,CNX Nifty,533,986,7111.3,7152.55,7082.55,7123.15,10388.89,7685660.0,34,16,267654,123048,598690,792049,711436,354985,361188,945528,29021,29786,20367,18000,4813,4600,215344.0,0,0,0,25571,110754.0,1708,137,0,0,52767,51218,276235.0,363419.0,223186.0,335654.0,161924.0,154774.0,44880,98040,44232,55341
20140516T,CNX Nifty,802,724,7270.2,7563.5,7130.65,7203.0,18024.6,11805386.0,50,22,256530,134505,567048,792299,704278,380461,354104,1011197,29251,28229,19533,19134,5687,3400,202317.0,0,0,0,27181,118005.0,1704,137,0,0,75116,64173,235686.0,427038.0,227494.0,333029.0,184380.0,179903.0,47674,101328,44450,66212
20140521T,CNX Nifty,1113,452,7274.85,7287.15,7206.7,7252.9,16983.91,10379752.0,70,10,330159,167248,570945,764814,791557,372673,325068,1081188,32889,38692,21734,21879,3392,2071,204729.0,0,0,0,27643,117979.0,2372,137,0,0,72955,61376,212074.0,463104.0,240603.0,388140.0,204900.0,196685.0,63992,129007,50427,87526
