date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low
2015-12-29,Nifty 50,650,916,7929.20,7942.15,7902.75,7928.95,8653.98,6445994.0,40,5
2015-12-30,Nifty 50,732,810,7938.60,7944.75,7889.85,7896.25,8904.89,5893275.0,32,4
2015-12-31,Nifty 50,880,660,7897.80,7955.55,7891.15,7946.35,10646.34,6440205.0,38,7
2016-01-01,Nifty 50,1113,452,7938.45,7972.55,7909.80,7963.20,8708.88,4906794.0,41,5
2016-01-04,Nifty 50,533,1063,7924.55,7937.55,7781.10,7791.30,11940.71,7498588.0,43,5
2016-01-05,Nifty 50,1099,478,7828.40,7831.20,7763.25,7784.65,14100.76,7865865.0,61,4
2016-01-06,Nifty 50,622,957,7788.05,7800.95,7721.20,7741.00,12892.63,8997270.0,56,3
2016-01-07,Nifty 50,194,1409,7673.35,7674.95,7556.60,7568.30,11127.87,8259340.0,22,9
2016-01-08,Nifty 50,1231,343,7611.65,7634.10,7581.05,7601.35,9455.3,7285041.0,25,6
2016-01-11,Nifty 50,578,994,7527.45,7605.10,7494.35,7563.85,10682.44,7547729.0,31,16
2016-01-12,Nifty 50,436,1135,7587.20,7588.30,7487.80,7510.30,9691.0,7669046.0,25,9
2016-01-13,Nifty 50,298,1293,7557.90,7590.95,7425.80,7562.40,14442.94,9318253.0,18,28
2016-01-14,Nifty 50,382,1190,7467.40,7604.80,7443.80,7536.80,10199.69,8025026.0,5,15
2016-01-15,Nifty 50,143,1450,7561.65,7566.50,7427.30,7437.80,9905.16,7435337.0,6,27
2016-01-18,Nifty 50,158,1451,7420.35,7463.65,7336.40,7351.00,10960.37,8657849.0,5,51
2016-01-19,Nifty 50,1149,428,7381.80,7462.75,7364.15,7435.10,9448.31,7683418.0,2,36
2016-01-20,Nifty 50,224,1352,7357.00,7470.90,7241.50,7309.30,10252.83,8611278.0,5,46
2016-01-21,Nifty 50,839,719,7376.65,7398.70,7250.00,7276.80,10277.29,7956017.0,6,23
2016-01-22,Nifty 50,1313,266,7355.70,7433.40,7327.60,7422.45,9058.9,7976883.0,5,7
2016-01-25,Nifty 50,1059,517,7468.75,7487.15,7421.20,7436.15,7142.53,7033104.0,14,9
2016-01-27,Nifty 50,842,697,7469.60,7477.90,7419.70,7437.75,7620.35,7101711.0,13,4
2016-01-28,Nifty 50,730,805,7426.50,7468.85,7409.60,7424.65,11483.1,7255679.0,17,3
2016-01-29,Nifty 50,1021,541,7413.35,7575.65,7402.80,7563.55,9947.74,8130206.0,9,7
